//Для удобства обслуживания список отсортирован в алфавитном порядке.
выровнять; выравнивать
извлечь; извлекать
изучить; изучать
забить; забивать
загрузить; загружать
заправить; заправлять
засеять; засевать
навестить; навещать
нагрузить; нагружать
наполнить; наполнять
обеспечить материалами; обеспечивать материалами
объединить; объединять
опустошить; опустошать
остричь; остригать
отвести в загон; отводить в загон
отдохнуть в; отдыхать в
открыть; открывать
отнести в кровать; относить в кровать
отнести еду для; относить еду для
отнести на операцию; относить на операцию
отпустить; отпускать
очистить от краски; очищать от краски
перезарядить; перезаряжать
переключить; переключать
перенести; переносить
поговорить с; разговаривать с
подоить; доить
покормить; кормить
покрасить; красить
попытаться приручить; приручать
посадить; сажать
построить; строить
потушить; тушить
починить; чинить
провести медпроцедуру; проводить медпроцедуру
разгрузить; разгружать
раздеть; раздевать
разобрать; разбирать
разобрать крышу; разбирать крышу
разработать; разрабатывать
слить пиво, опорожнив; сливать пиво, опорожняя
снять покрытие; снимать покрытие
собрать; собирать
соорудить крышу; сооружать крышу
спасти; спасать
срубить; срубать
убрать; убирать
убрать снег; убирать снег
установить исправные компоненты в; устанавливать исправные компоненты в
