// OrderedTakeGroupDef
препарат; препараты
наркотик; наркотики

// ThingDef
пояс-щит; пояса-щиты
бронешлем; бронешлемы
разведшлем; разведшлемы
шляпа-котелок; шляпы-котелки
ковбойская шляпа; ковбойские шляпы
капюшон; капюшоны
пехотный шлем; пехотные шлемы
шлем из психофольги; шлемы из психофольги
простой шлем; простые шлемы
зверошапка; зверошапки
вязаная шапка; вязаные шапки
маска войны; маски войны
покров; покровы
копьё безумия; копья безумия
копьё потрясения; копья потрясения
футболка; футболки
рубашка; рубашки
плащ; плащи
бронекуртка; бронекуртки
бронежилет; бронежилеты
куртка; куртки
пуховик; пуховики
пластинчатый доспех; пластинчатые доспехи
туника; туники
беллетристика; беллетристика
техдокументация; техдокументация
учебники; учебники
штурмовой топор; штурмовые топоры
огромная скульптура; огромные скульптуры
большая скульптура; большие скульптуры
малая скульптура; малые скульптуры
кровать для животных; кровати для животных
спальный короб для животных; спальные короба для животных
спальное место животных; спальные места животных
кресло; кресла
кровать; кровати
спальный мешок; спальные мешки
двойной спальный мешок; двойные спальные мешки
стул; стулья
двойная кровать; двойные кровати
двойное спальное место; двойные спальные места
комод; комоды
прикроватный столик; прикроватные столики
больничная кровать; больничные кровати
цветочный горшок; цветочные горшки
роскошная кровать; роскошные кровати
стеллаж; стеллажи
спальное место; спальные места
лампа; лампы
синяя лампа; синие лампы
зелёная лампа; зелёные лампы
красная лампа; красные лампы
табурет; табуреты
солнечная лампа; солнечные лампы
стол (1x2); столы (1x2)
стол (2x2); столы (2x2)
стол (2x4); столы (2x4)
стол (3x3); столы (3x3)
лампа-факел; лампы-факелы
бильярдный стол; бильярдные столы
шахматный стол; шахматные столы
плазменный телевизор; плазменные телевизоры
поле для игры Ур; поля для игры Ур
кольцо для бросания камней; кольца для бросания камней
колышек для метания подковы; колышки для метания подковы
ультрателевизор; ультрателевизоры
стол для покера; столы для покера
телескоп; телескопы
ЭЛТ телевизор; ЭЛТ телевизоры
древний саркофаг криптосна; древние саркофаги криптосна
место привязи каравана; места привязи каравана
консоль связи; консоли связи
саркофаг криптосна; саркофаги криптосна
коробка для яиц; коробки для яиц
хлопушка с пожарной пеной; хлопушки с пожарной пеной
могила; могилы
глубинный сканер; глубинные сканеры
сканер минералов дальнего действия; сканеры минералов дальнего действия
место проведения свадеб; места проведения свадеб
водяная помпа; водяные помпы
мультианализатор; мультианализаторы
торговый маяк; торговые маяки
место проведения вечеринок; места проведения вечеринок
пусковая установка для капсул; пусковые установки для капсул
саркофаг; саркофаги
великая стела; великие стелы
большая стела; большие стелы
шкаф для инструментов; шкафы для инструментов
транспортная капсула; транспортные капсулы
монитор жизненных показателей; мониторы жизненных показателей
аккумулятор; аккумуляторы
генератор на химтопливе; генераторы на химтопливе
геотермальный генератор; геотермальные генераторы
кабель; кабели
выключатель; выключатели
солнечная батарея; солнечные батареи
водяной генератор; водяные генераторы
подводный кабель; подводные кабели
ветрогенератор; ветрогенераторы
генератор на дровах; генераторы на дровах
перегонный аппарат; перегонные аппараты
пивоварня; пивоварни
место разделки; места разделки
рабочее место; рабочие места
буровая установка; буровые установки
химическая лаборатория; химические лаборатории
электрический крематорий; электрические крематории
электроплавильня; электроплавильни
электрокузня; электрокузни
электроплита; электроплиты
швейная машинка; швейные машинки
высокоточный станок; высокоточные станки
бочка для брожения; бочки для брожения
топливная кузня; топливные кузни
твердотопливная плита; твердотопливные плиты
стол портного; столы портного
высокотехнологичный стол для исследований; высокотехнологичные столы для исследований
загрузочная воронка; загрузочные воронки
гидропонная ферма; гидропонные фермы
дозатор пасты; дозаторы пасты
простой стол для исследований; простые столы для исследований
разделочный стол; разделочные столы
верстак; верстаки
мастерская художника; мастерские художника
стол для резки камня; столы для резки камня
баррикада; баррикады
гранульная мина; гранульные мины
ЭМИ-мина; ЭМИ-мины
пенная мина; пенные мины
осколочная мина; осколочные мины
зажигательная мина; зажигательные мины
дымовая мина; дымовые мины
ловушка; ловушки
миномёт; миномёты
пуля из тяжёлой турели; пули из тяжёлой турели
пуля из мини-турели; пули из мини-турели
урановый снаряд; урановые снаряды
тяжёлая турель; тяжёлые турели
мини-турель; мини-турели
снайперская турель; снайперские турели
корабельная балка; корабельные балки
корабельный компьютер; корабельные компьютеры
вакуумный саркофаг криптосна; вакуумные саркофаги криптосна
корабельный двигатель; корабельные двигатели
корабельный реактор; корабельные реакторы
сенсорный кластер; сенсорные кластеры
синтезатор химтоплива; синтезаторы химтоплива
пси-излучатель; пси-излучатели
ванометрический генератор; ванометрические генераторы
завеса; завесы
автодверь; автодвери
колонна; колонны
дверь; двери
ограда; ограды
стена; стены
костёр; костры
кондиционер; кондиционеры
обогреватель; обогреватели
испарительный охладитель; испарительные охладители
вентиляция; вентиляции
архорука; архоруки
архоглаз; архоглаза
архонога; архоноги
бионическая рука; бионические руки
бионическое ухо; бионические уши
бионический глаз; бионические глаза
бионическое сердце; бионические сердца
бионическая нога; бионические ноги
бионический позвоночник; бионические позвоночники
бионический желудок; бионические желудки
бионический язык; бионические языки
посмертный растворитель; посмертные растворители
сердце; сердца
почка; почки
печень; печени
лёгкое; лёгкие
кохлеарный имплант; кохлеарные импланты
чип счастья; чипы счастья
чип обезболивания; чипы обезболивания
