//Для удобства обслуживания список отсортирован в алфавитном порядке.
войти в; входить в
дать гемоген; давать гемоген
извлечь гены из; извлекать гены из
загрузить предметы в; загружать предметы в
загрузить ресурсы в; загружать ресурсы в
заправить; заправлять
опорожнить; опорожнять
отнести гемоген для; относить гемоген для
отнести к матери для кормления; относить к матери для кормления
отнести на сканирование мозга; относить на сканирование мозга
перенести; переносить
поиграть с; играть с
покормить; кормить
покормить грудью; кормить грудью
поместить в банк; помещать в банк
починить; чинить
провести урок; проводить урок
создать ксеносемя, используя; создавать ксеносемя, используя
спасти; спасать
ускорить рост; ускорять рост
устранить загрязнение; устранять загрязнение
