
// ThingDef
фуражка надзирателя; фуражки надзирателя
платок; платки
рабский ошейник; рабские ошейники
шапка-носок; шапки-носки
тюрбан; тюрбаны
коническая шляпа; конические шляпы
накладка на голову; накладки на голову
шапка с хвостом; шапки с хвостом
маска; маски
повязка на глаза; повязки на глаза
рабская шлейка; рабские шлейки
бурка; бурки
мантия; мантии
терновая корона; терновые короны
ужасающая скульптура; ужасающие скульптуры
великий алтарь; великие алтари
большой алтарь; большие алтари
средний алтарь; средние алтари
небольшой алтарь; небольшие алтари
биоскульптор; биоскульпторы
одноразовый бонг; одноразовые бонги
пир каннибалов; пиры каннибалов
рождественское дерево; рождественские деревья
напольная тёмная лампа; напольные тёмные лампы
тёмный факел; тёмные факелы
тёмный факел из грибов; тёмные факелы из грибов
пугало; пугала
идеограмма; идеограммы
алтарь благовоний; алтари благовоний
нейронный стимулятор; нейронные стимуляторы
погребальный костёр; погребальные костры
место для ритуалов; места для ритуалов
жертвенный флаг; жертвенные флаги
стимулятор сна; стимуляторы сны
автобонг; автобонги
барабан; барабаны
кокон дриады; коконы дриады
регенеративный кокон дриады; регенеративные коконы дриады
капсула гау; капсулы гау
висячая клетка; висячие клетки
молитвенная подушка; молитвенные подушки
молитвенный коврик; молитвенные коврики
кафедра; кафедры
дискошар; дискошары
колонка; колонки
скамья; скамьи
горшок для бонсая; горшки для бонсая
реликварий; реликварии
череп на колу; черепа на кольях
череп; черепа
кровать-плита; кровати-плиты
двойная кровать-плита; двойные кровати-плиты
туалетный столик; туалетные столики
ядро архонексуса; ядра архонексуса
небесный фонарь; небесные фонари
тоннель; тоннели
анималистский барельеф (большой); анималистские барельефы (большие)
анималистский барельеф (средний); анималистские барельефы (средние)
мрачный барельеф (большой); мрачные барельефы (большие)
мрачный барельеф (средний); мрачные барельефы (средние)
ковёр (большой); ковры (большие)
ковёр (средний); ковры (средние)
«шипастая» звезда (большая); «шипастые» звёзды (большие)
«шипастая» звезда (средняя); «шипастые» звезды (средние)
тотемический барельеф (большой); тотемические барельефы (большие)
тотемический барельеф (средний); тотемические барельефы (средние)
семя Гауранлен; семена Гауранлен
волокноцвет; волокноцветы
мох Гауранлен; мох Гауранлен
нутригриб; нутригрибы
семенная капсула Гауранлен; семенные капсулы Гауранлен
древогриб; древогрибы
бонсай; бонсай
древо Гауранлен; древа Гауранлен
дриада-дубокож; дриады-дубокожи
незрелая дриада; незрелые дриады
дриада-ягодник; дриады-ягодники
дриада-носильщик; дриады-носильщики
дриада-коготь; дриады-когти
дриада-гау; дриады-гау
дриада-травник; дриады-травники
дриада-древесник; дриады-древесники
ларец; ларцы
короб; короба
куб; кубы
чаша; чаши
осколок; осколки
кулон; кулоны
рукоять; рукояти
скрижаль; скрижали
