// RoyalTitleDef
аколит; аколиты
барон; бароны
баронесса; баронессы
консул; консулы
граф; графы
графиня; графини
герцог; герцоги
герцогиня; герцогини
император; императоры
императрица; императрицы
фригольдер; фригольдеры
рыцарь; рыцари
дама; дамы
претор; преторы
стелларх; стеллархи
йомен; йомены

// ThingDef
переносной барьерный проектор; переносные барьерные проекторы
прыжковый ранец; прыжковые ранцы
тафья из эльтекса; тафьи из эльтекса
шлем из эльтекса; шлемы из эльтекса
мантия из эльтекса; мантии из эльтекса
рубашка из эльтекса; рубашки из эльтекса
жилет из эльтекса; жилеты из эльтекса
берет; береты
коронетка; коронетки
корсет; корсеты
корона; короны
звёздная корона; звёздные короны
дамская шляпка; дамские шляпки
шляпа-цилиндр; шляпы-цилиндры
роскошная мантия; роскошные мантии
деловая рубашка; деловые рубашки
деловой жилет; деловые жилеты
катафрактарская броня; катафрактарская броня
броня «феникса»; броня «феникса»
роскошная катафрактарская броня; роскошная катафрактарская броня
катафрактарский шлем; катафрактарские шлемы
роскошный катафрактарский шлем; роскошные катафрактарские шлемы
роскошный разведшлем; роскошные разведшлемы
броня «богомола»; броня «богомола»
гренадерская броня; гренадерская броня
роскошный пехотный шлем; роскошные пехотные шлемы
роскошная пехотная броня; роскошная пехотная броня
роскошная разведброня; роскошная разведброня
стрелковый визор; стрелковые визоры
осколочная граната; осколочные гранаты
регулятор климата; регуляторы климата
ЭМИ-генератор; ЭМИ-генераторы
психический излучатель; психические излучатели
психический подавитель; психические подавители
дымообразователь; дымообразователи
блокировщик солнца; блокировщики солнца
генератор токсинов; генераторы токсинов
контроллер погоды; контроллеры погоды
жаровня; жаровни
тусклая жаровня; тусклые жаровни
ширма; ширмы
великий трон; великие троны
трон; троны
узел механоидов; узлы механоидов
нестабильная энергоячейка; нестабильные энергоячейки
активатор с таймером; активаторы с таймером
активатор приближения; активаторы приближения
барьерный проектор механоидов; барьерные проекторы механоидов
купольный проектор механоидов; купольные проекторы механоидов
сборщик механоидов; сборщики механоидов
капсула с механоидами; капсулы с механоидами
маяк механоидов; маяки механоидов
автоминомёт; автоминомёты
лёгкий бластер; лёгкие бластеры
инферно-пушка; инферно-пушки
снайперская мини-турель; снайперские мини-турели
автоматическая турель с бластером; автоматические турели с бластером
автоматическая инферно-турель; автоматические инферно-турели
автоматическая турель-миномёт; автоматические турели-миномёты
камень духа; камни духи
большое природное святилище; большие природные святилища
малое природное святилище; малые природные святилища
посадочный маяк; посадочные маяки
арфа; арфы
клавесин; клавесины
фортепиано; фортепиано
прыжковый щит; прыжковые щиты
пси-гармонайзер; пси-гармонайзеры
пси-считыватель; пси-считыватели
пси-сенсибилизатор; пси-сенсибилизаторы
эстетичный нос; эстетичные носы
корректор фигуры; корректоры фигуры
бронирующая железа; бронирующие железы
циркадный стимулятор; циркадные стимуляторы
циркадный разделитель; циркадные разделители
коагулятор; коагуляторы
детоксицирующий желудок; детоксицирующие желудки
гастроанализатор; гастроанализаторы
исцелитель; исцелители
иммунизатор; иммунизаторы
когнитивный стимулятор; когнитивные стимуляторы
усилитель любви; усилители любви
нейрокалькулятор; нейрокалькуляторы
ядерный желудок; ядерные желудки
желудок повторной обработки; желудки повторной обработки
железа каменной кожи; железы каменной кожи
железа твёрдой кожи; железы твёрдой кожи
рука-бур; руки-буры
локтевое лезвие; локтевые лезвия
агрорука; агроруки
кистевой коготь; кистевые когти
коленный шип; коленные шипы
мозгорез; мозгорезы
ядовитые клыки; ядовитые клыки
ядовитый коготь; ядовитые когти
ядро щита; ядра щита
синхромономеч; синхромономечи
плазменный синхромеч; плазменные синхромечи
синхроэлектромолот; синхроэлектромолоты
топор; топоры
молот; молоты
мономеч; мономечи
плазменный меч; плазменные мечи
электромолот; электромолоты
целеуказатель для высадки механоидов; целеуказатели для высадки механоидов
трава души; трава души
древо души; древа души
пси-посох; пси-посохи

// ThingDef.chargeNoun
щит; щиты
зажигательный снаряд; зажигательные снаряды
прыжок; прыжки
граната; гранаты
заряд; заряды
